experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper,regularization_config
insilico_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.3666666666666667,0.2333333333333333,"[0.31666666666666654, 0.43875]","[0.18708333333333332, 0.32958333333333334]",1186,60,39.020323753356934,,0.0027549266815185,38.824090003967285,c72ddd5be2d70720db5e42f8c496f868b9fec8e9ca5f0f55d4da23c1,0,,insilico,1.0,0.3166666666666665,0.43875,0.1870833333333333,0.3295833333333333,conservative
insilico_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.3378378378378378,0.1481481481481481,"[0.29957770270270273, 0.36410472972972985]","[0.11565656565656565, 0.17095959595959595]",237,297,83.57448983192444,,0.0018491744995117,83.34415316581726,a277238fbd5953208dac9e4fd4783d2d6245aa887193c6bdefe4d1dc,0,,insilico,1.0,0.2995777027027027,0.3641047297297298,0.1156565656565656,0.1709595959595959,conservative
insilico_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.2557377049180327,0.088235294117647,"[0.2009765962036239, 0.29360655737704927]","[0.06756535947712419, 0.09803921568627451]",237,306,86.94014716148376,,0.0026938915252685,86.65111494064331,913d0d1deff4a723a239d852f5c1b1d7608027508c3dfb83b8108d97,0,,insilico,1.0,0.2009765962036239,0.2936065573770492,0.0675653594771241,0.0980392156862745,conservative
insilico_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.7475409836065574,0.2712418300653594,"[0.6794262295081968, 0.7518852459016393]","[0.23676470588235293, 0.2795751633986928]",305,306,126.91913294792175,,0.0019352436065673,126.7075788974762,c01276904eb9f21bdc68071ba9df7a37bb7d6c9ef4af56a4b9654b82,0,,insilico,0.25,0.6794262295081968,0.7518852459016393,0.2367647058823529,0.2795751633986928,conservative
insilico_out_domain_Mexico_AP_size1.0,out_domain,Mexico,AP,0.3905723905723907,0.202020202020202,"[0.3203703703703704, 0.4377104377104377]","[0.18181818181818182, 0.23905723905723905]",1222,297,131.727952003479,,0.0027241706848144,131.54828906059265,cca573bd1fb5fb5c543a66511ac7e71b76245d5a7b4576ed3c16602e,0,,insilico,1.0,0.3203703703703704,0.4377104377104377,0.1818181818181818,0.239057239057239,conservative
insilico_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.7409836065573772,0.3562091503267974,"[0.6655737704918032, 0.7457749137187231]","[0.2937908496732026, 0.36527777777777776]",1222,306,138.4705789089203,,0.0025348663330078,138.09636402130127,a55851ea8fc542bb8aec2c460d25fe0f0220128b871d02d157a468ab,0,,insilico,1.0,0.6655737704918032,0.7457749137187231,0.2937908496732026,0.3652777777777777,conservative
insilico_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.7409836065573772,0.2745098039215686,"[0.67140522875817, 0.7568201542912247]","[0.23202614379084968, 0.31503267973856214]",611,306,134.93034315109253,,0.0019099712371826,134.70253109931946,5f612089471deb424ddf15f5096a03993a177cf835d7eb3be0338390,0,,insilico,0.5,0.67140522875817,0.7568201542912247,0.2320261437908496,0.3150326797385621,conservative
insilico_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.7972972972972974,0.4276094276094276,"[0.7319552507052506, 0.8131537787787788]","[0.3805555555555556, 0.4781144781144781]",1186,297,142.81900882720947,,0.0024302005767822,142.4803068637848,e2fa1c1c220a0e5060959e027a2184653e3a7cbd4b62179f08cfa5de,0,,insilico,1.0,0.7319552507052506,0.8131537787787788,0.3805555555555556,0.4781144781144781,conservative
insilico_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.7442622950819673,0.3137254901960784,"[0.6747549019607842, 0.7547211507553842]","[0.2752450980392157, 0.33292483660130723]",916,306,140.63946509361267,,0.0021197795867919,140.32605981826782,d6bc7f7948fc3d15f9600017b295be64edc294c9fcc1133eb9d414b6,0,,insilico,0.75,0.6747549019607842,0.7547211507553842,0.2752450980392157,0.3329248366013072,conservative
insilico_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.5816993464052287,0.2581699346405229,"[0.5214869281045751, 0.5882352941176471]","[0.21429738562091505, 0.3133169934640523]",1186,306,151.16649103164673,,0.002659797668457,150.8116853237152,197589c6242311b1c5b503d10ee331023c07a667197a2a57bfb6333b,0,,insilico,1.0,0.5214869281045751,0.5882352941176471,0.214297385620915,0.3133169934640523,conservative
