,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.446215139442231,0.2993827160493827,0.4019607843137255,0.4333333333333333,0.5088967971530249
Bohol,0.1851851851851851,,0.1574074074074074,0.0751633986928104,0.3,0.1743772241992882
Dar,0.3299663299663299,0.3665338645418327,,0.2875816993464052,0.4166666666666667,0.3807829181494662
Mexico,0.2861952861952861,0.1912350597609561,0.1358024691358024,,0.2333333333333333,0.2633451957295373
Pemba,0.3367003367003367,0.2111553784860557,0.3271604938271605,0.1764705882352941,,0.3416370106761566
UP,0.5353535353535354,0.4900398406374502,0.3950617283950617,0.5686274509803921,0.4166666666666667,
