model,classification,n_experiments,csmf_mean,csmf_std,csmf_min,csmf_max,cod_mean,cod_std,cod_min,cod_max
categorical_nb,COD5,30,0.4476509922537878,0.23487136408074416,0.1170568561872908,0.9341563786008232,0.32240792795200385,0.12616988967607562,0.0751633986928104,0.5686274509803921
random_forest,COD5,30,0.6707735135574655,0.19210128942861449,0.1568627450980393,0.9291338582677166,0.4543355248218877,0.11217767686184538,0.2098765432098765,0.6654804270462633
xgboost,COD5,30,0.7261661764984786,0.1611471807656877,0.2833333333333334,0.9382716049382716,0.47815430386112884,0.11572033252872113,0.2151394422310757,0.6944444444444444
logistic_regression,COD5,30,0.49387837565716847,0.2591640602602852,0.0568561872909697,0.8127208480565371,0.3420541850243118,0.12926520276946274,0.0987654320987654,0.5050505050505051
insilico,COD5,30,0.7295728696810149,0.11671581189142587,0.4782608695652174,0.9547325102880658,0.5007657829578266,0.07918287252582054,0.3006535947712418,0.6405693950177936
