,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.0557768924302788,0.0771604938271604,0.1470588235294117,0.2166666666666666,0.302491103202847
Bohol,0.0976430976430976,,0.2191358024691358,0.0490196078431372,0.0666666666666666,0.0747330960854092
Dar,0.0404040404040404,0.2151394422310757,,0.0294117647058823,0.0,0.0284697508896797
Mexico,0.2087542087542087,0.0557768924302788,0.0462962962962962,,0.1833333333333333,0.2491103202846975
Pemba,0.1111111111111111,0.0637450199203187,0.0246913580246913,0.0457516339869281,,0.1103202846975089
UP,0.3198653198653198,0.1354581673306772,0.0864197530864197,0.2091503267973856,0.4,
