,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.1354581673306772,0.1820987654320987,0.4607843137254901,0.45,0.4590747330960854
Bohol,0.2356902356902357,,0.4814814814814814,0.1372549019607843,0.2833333333333333,0.195729537366548
Dar,0.4006734006734007,0.4860557768924303,,0.3660130718954248,0.3166666666666666,0.395017793594306
Mexico,0.5050505050505051,0.1952191235059761,0.2438271604938271,,0.4333333333333333,0.4555160142348754
Pemba,0.4309764309764309,0.2270916334661354,0.1666666666666666,0.4607843137254901,,0.4341637010676156
UP,0.4983164983164983,0.298804780876494,0.0987654320987654,0.4444444444444444,0.3833333333333333,
