,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.0517928286852589,0.1141975308641975,0.15359477124183,0.2333333333333333,0.3380782918149466
Bohol,0.0606060606060606,,0.2623456790123457,0.0522875816993464,0.0,0.0213523131672597
Dar,0.0437710437710437,0.2231075697211155,,0.0555555555555555,0.05,0.092526690391459
Mexico,0.2929292929292929,0.2231075697211155,0.3086419753086419,,0.2166666666666666,0.2597864768683274
Pemba,0.1750841750841751,0.1513944223107569,0.1018518518518518,0.1241830065359477,,0.2313167259786477
UP,0.3265993265993266,0.0876494023904382,0.1080246913580246,0.2091503267973856,0.2833333333333333,
