,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.1314741035856573,0.1388888888888889,0.2254901960784313,0.3,0.395017793594306
Bohol,0.0606060606060606,,0.324074074074074,0.065359477124183,0.0166666666666666,0.0818505338078291
Dar,0.0808080808080808,0.2788844621513944,,0.0457516339869281,0.0333333333333333,0.0676156583629893
Mexico,0.3468013468013468,0.1912350597609561,0.3148148148148148,,0.35,0.3879003558718861
Pemba,0.2087542087542087,0.047808764940239,0.0401234567901234,0.0980392156862745,,0.192170818505338
UP,0.3131313131313131,0.0398406374501992,0.1358024691358024,0.2418300653594771,0.2833333333333333,
