,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.2390438247011952,0.2345679012345679,0.2581699346405229,0.2333333333333333,0.3238434163701068
Bohol,0.2491582491582491,,0.2098765432098765,0.2124183006535947,0.2166666666666666,0.2562277580071174
Dar,0.2323232323232323,0.1872509960159362,,0.1503267973856209,0.2333333333333333,0.1708185053380783
Mexico,0.202020202020202,0.2071713147410358,0.2777777777777778,,0.1666666666666666,0.1814946619217081
Pemba,0.1481481481481481,0.1713147410358565,0.1635802469135802,0.088235294117647,,0.1708185053380783
UP,0.3198653198653198,0.1792828685258964,0.1759259259259259,0.1601307189542483,0.4166666666666667,
