,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.4940239043824701,0.595679012345679,0.6013071895424836,0.5,0.6405693950177936
Bohol,0.4074074074074074,,0.4598765432098765,0.5588235294117647,0.3666666666666666,0.4839857651245551
Dar,0.4915824915824915,0.4780876494023904,,0.457516339869281,0.55,0.5124555160142349
Mexico,0.5286195286195287,0.50199203187251,0.5864197530864198,,0.5,0.5444839857651246
Pemba,0.4646464646464646,0.3227091633466135,0.5493827160493827,0.3006535947712418,,0.4128113879003559
UP,0.5387205387205387,0.5258964143426295,0.5339506172839507,0.5980392156862745,0.5166666666666667,
