,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.4023904382470119,0.3858024691358024,0.5522875816993464,0.3666666666666666,0.6654804270462633
Bohol,0.3232323232323232,,0.5771604938271605,0.2973856209150327,0.2666666666666666,0.3131672597864768
Dar,0.5791245791245792,0.5059760956175299,,0.4869281045751634,0.4,0.5195729537366548
Mexico,0.5420875420875421,0.4661354581673306,0.6481481481481481,,0.55,0.4804270462633452
Pemba,0.4478114478114478,0.3386454183266932,0.4259259259259259,0.4215686274509804,,0.4163701067615658
UP,0.5791245791245792,0.4382470119521912,0.2098765432098765,0.4738562091503268,0.55,
