model,classification,n_experiments,csmf_mean,csmf_std,csmf_min,csmf_max,cod_mean,cod_std,cod_min,cod_max
categorical_nb,VA34,30,0.29544877159523847,0.15076963014562056,0.1078431372549019,0.7195945945945945,0.11413383361995257,0.0708030325774444,0.0326797385620915,0.303030303030303
random_forest,VA34,30,0.3645499036833377,0.18025910624219754,0.0999999999999999,0.6464285714285716,0.1617422831199228,0.10050971146185753,0.0,0.3380782918149466
xgboost,VA34,30,0.38309597177248295,0.2183080280634158,0.0999999999999998,0.7601351351351351,0.18124689411347114,0.12314120436493839,0.0166666666666666,0.395017793594306
logistic_regression,VA34,30,0.3713038252513897,0.17345596249192405,0.1333333333333334,0.7128378378378379,0.12898537581712213,0.10124348052273291,0.0,0.4
insilico,VA34,30,0.46054933769560885,0.11587379304162239,0.2557377049180327,0.6587837837837838,0.21454859503300627,0.06367923123963345,0.088235294117647,0.4166666666666667
