,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.50199203187251,0.6481481481481481,0.5816993464052288,0.3833333333333333,0.5409252669039146
Bohol,0.6397306397306397,,0.6944444444444444,0.4542483660130719,0.2666666666666666,0.4590747330960854
Dar,0.5218855218855218,0.5338645418326693,,0.4901960784313725,0.5166666666666667,0.4234875444839858
Mexico,0.6363636363636364,0.3944223107569721,0.5771604938271605,,0.6,0.5231316725978647
Pemba,0.4545454545454545,0.2151394422310757,0.2685185185185185,0.4379084967320261,,0.4306049822064057
UP,0.5387205387205387,0.4342629482071713,0.4382716049382716,0.3725490196078431,0.3666666666666666,
