,AP,Bohol,Dar,Mexico,Pemba,UP
AP,,0.1434262948207171,0.0617283950617283,0.0915032679738562,0.1,0.2597864768683274
Bohol,0.0875420875420875,,0.0771604938271604,0.0620915032679738,0.0833333333333333,0.1209964412811387
Dar,0.0673400673400673,0.047808764940239,,0.0392156862745098,0.0833333333333333,0.0604982206405693
Mexico,0.1212121212121212,0.0597609561752988,0.1111111111111111,,0.2166666666666666,0.1743772241992882
Pemba,0.0976430976430976,0.0637450199203187,0.0493827160493827,0.0326797385620915,,0.0498220640569395
UP,0.303030303030303,0.1872509960159362,0.1388888888888889,0.1993464052287581,0.2333333333333333,
