experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
insilico_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.30000000000000004,0.16666666666666666,"[0.22791666666666666, 0.3425]","[0.07625000000000003, 0.2554166666666667]",1222,60,28.47933006286621,,0.0037279129028320312,27.552781105041504,d44c25d9e81acaa4d2734b10a9e71ec150e25738d21d25ed3796356e,0,,insilico,1.0,0.22791666666666666,0.3425,0.07625000000000003,0.2554166666666667
insilico_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.3666666666666667,0.23333333333333334,"[0.31666666666666654, 0.43875]","[0.18708333333333332, 0.32958333333333334]",1186,60,32.125787019729614,,0.0030341148376464844,31.056351900100708,827db5d6d093bd4afb2dc56a5e75c30eb8092a8405e90693a102b261,0,,insilico,1.0,0.31666666666666654,0.43875,0.18708333333333332,0.32958333333333334
insilico_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.33783783783783783,0.14814814814814814,"[0.29957770270270273, 0.36410472972972985]","[0.11565656565656565, 0.17095959595959595]",237,297,54.108069896698,,0.0017948150634765625,53.89782381057739,260ba34d61e350c2b130456b3e1fce028f6ac2909f52a58447c38789,0,,insilico,1.0,0.29957770270270273,0.36410472972972985,0.11565656565656565,0.17095959595959595
insilico_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.2557377049180327,0.08823529411764706,"[0.2009765962036239, 0.29360655737704927]","[0.06756535947712419, 0.09803921568627451]",237,306,56.336249113082886,,0.0020308494567871094,56.0311279296875,a7d65bfb895c272c6a70897969864905640d5780556fec4a1f7a34d0,0,,insilico,1.0,0.2009765962036239,0.29360655737704927,0.06756535947712419,0.09803921568627451
insilico_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.7475409836065574,0.27124183006535946,"[0.6794262295081968, 0.7518852459016393]","[0.23676470588235293, 0.2795751633986928]",305,306,69.79895091056824,,0.0022449493408203125,69.58827996253967,ea1f4913cf5b8b4f7b1310ca320619fd1e67f82fbf44e77429a037f6,0,,insilico,0.25,0.6794262295081968,0.7518852459016393,0.23676470588235293,0.2795751633986928
insilico_out_domain_Mexico_AP_size1.0,out_domain,Mexico,AP,0.3905723905723907,0.20202020202020202,"[0.3203703703703704, 0.4377104377104377]","[0.18181818181818182, 0.23905723905723905]",1222,297,71.60197901725769,,0.0034797191619873047,70.83469724655151,962751dea960d5dd52daa365391720688588ec1a54ac5888be08d9ae,0,,insilico,1.0,0.3203703703703704,0.4377104377104377,0.18181818181818182,0.23905723905723905
insilico_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.7409836065573772,0.27450980392156865,"[0.67140522875817, 0.7568201542912247]","[0.23202614379084968, 0.31503267973856214]",611,306,72.35366988182068,,0.002003908157348633,71.479079246521,d74d858ea47b9ffd9f0af7f383c16ce01ce1d28422bf2e85a4388943,0,,insilico,0.5,0.67140522875817,0.7568201542912247,0.23202614379084968,0.31503267973856214
insilico_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.7972972972972974,0.4276094276094276,"[0.7319552507052506, 0.8131537787787788]","[0.3805555555555556, 0.4781144781144781]",1186,297,75.89711308479309,,0.0032432079315185547,75.34699487686157,956fd3c2d195290345df317a33cb3544fac6d0bbd1c0e8aec4b2ade2,0,,insilico,1.0,0.7319552507052506,0.8131537787787788,0.3805555555555556,0.4781144781144781
insilico_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.7442622950819673,0.3137254901960784,"[0.6747549019607842, 0.7547211507553842]","[0.2752450980392157, 0.33292483660130723]",916,306,72.97689700126648,,0.0021970272064208984,72.48074197769165,f1065e5afcadbafedf71932cd987809199d39f25de71f349ab39fdd5,0,,insilico,0.75,0.6747549019607842,0.7547211507553842,0.2752450980392157,0.33292483660130723
insilico_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.7409836065573772,0.3562091503267974,"[0.6655737704918032, 0.7457749137187231]","[0.2937908496732026, 0.36527777777777776]",1222,306,77.30878520011902,,0.0033142566680908203,76.75716185569763,d94922a7d71cc65d96ab114c2b4488e14bda385eb85cd8711109a394,0,,insilico,1.0,0.6655737704918032,0.7457749137187231,0.2937908496732026,0.36527777777777776
insilico_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.5816993464052287,0.2581699346405229,"[0.5214869281045751, 0.5882352941176471]","[0.21429738562091505, 0.3133169934640523]",1186,306,77.3754723072052,,0.0027167797088623047,76.34815788269043,61e100aed6fd2e70687f47c31e1a20dfc84758584a870ab9e17e7c52,0,,insilico,1.0,0.5214869281045751,0.5882352941176471,0.21429738562091505,0.3133169934640523
insilico_training_size_Mexico_Mexico_size1.0,training_size,Mexico,Mexico,0.7409836065573772,0.3562091503267974,"[0.6655737704918032, 0.7457749137187231]","[0.2937908496732026, 0.36527777777777776]",1222,306,50.77567911148071,,0.001650094985961914,50.51522779464722,61e100aed6fd2e70687f47c31e1a20dfc84758584a870ab9e17e7c52,0,,insilico,1.0,0.6655737704918032,0.7457749137187231,0.2937908496732026,0.36527777777777776
