experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
ensemble_hard_none_size3_xgb_cnb_ins_in_domain_Bohol_Bohol_size0.7,in_domain,Bohol,Bohol,0.4860557768924303,0.18326693227091634,"[0.4048804780876495, 0.5110557768924303]","[0.13834661354581673, 0.22131474103585655]",1001,251,303.96043491363525,,187.15679097175598,116.73413395881653,6f8332f9bf361da7ea07b88bddc18e5fa4b248b2e57cf4a0171cda40,0,,,ensemble,1.0,0.4048804780876495,0.5110557768924303,0.13834661354581673,0.22131474103585655
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Mexico_Bohol_size0.7,out_domain,Mexico,Bohol,0.43027888446215146,0.1752988047808765,"[0.3762948207171316, 0.46254980079681274]","[0.13794820717131476, 0.21623505976095617]",1222,251,318.96436190605164,,212.89401292800903,106.00091218948364,9de28bb0b45cb50a2ab952b4f64d3d823ef59c5c8663e52e0813aab1,0,,,ensemble,1.0,0.3762948207171316,0.46254980079681274,0.13794820717131476,0.21623505976095617
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_UP_Dar_size0.7,out_domain,UP,Dar,0.4012345679012347,0.14506172839506173,"[0.3310185185185186, 0.44390432098765437]","[0.10910493827160495, 0.1753858024691358]",1124,324,322.03701400756836,,192.76141905784607,129.1533408164978,d4e4d13974f27f135f95925e335ff32bdc43bf4ac5cce5e6ae7e48a7,0,,,ensemble,1.0,0.3310185185185186,0.44390432098765437,0.10910493827160495,0.1753858024691358
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_AP_Bohol_size0.7,out_domain,AP,Bohol,0.4661354581673307,0.1553784860557769,"[0.39332669322709174, 0.4973107569721116]","[0.11045816733067729, 0.2058764940239043]",1186,251,330.1437928676605,,219.40450620651245,110.67006182670593,1e40a3b9c626ed41fb96091eb884b27356da130bf5a628cee5c98071,0,,,ensemble,1.0,0.39332669322709174,0.4973107569721116,0.11045816733067729,0.2058764940239043
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_UP_AP_size0.7,out_domain,UP,AP,0.7060810810810811,0.30303030303030304,"[0.6231418918918918, 0.7144678769678771]","[0.2607744107744108, 0.352020202020202]",1124,297,332.0946717262268,,209.87896513938904,122.15247416496277,ec14f4b1cf830c3f0cc97fc3a00694825a0dc5ab885a03a28348e77a,0,,,ensemble,1.0,0.6231418918918918,0.7144678769678771,0.2607744107744108,0.352020202020202
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_UP_Mexico_size0.7,out_domain,UP,Mexico,0.49673202614379086,0.17973856209150327,"[0.43700980392156863, 0.5291666666666667]","[0.13986928104575166, 0.2232026143790849]",1124,306,337.398442029953,,208.5578510761261,128.77452421188354,c46d67863b5e144ba7aac4248d4179354a428b096daafe3e75122f1f,0,,,ensemble,1.0,0.43700980392156863,0.5291666666666667,0.13986928104575166,0.2232026143790849
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Mexico_UP_size0.7,out_domain,Mexico,UP,0.44483985765124545,0.18149466192170818,"[0.3881672597864769, 0.4574733096085409]","[0.1387900355871886, 0.21032028469750888]",1222,281,342.14499402046204,,218.76139616966248,123.31245803833008,7d7de674e073d79d8d4ac4ae84acc03a12c19a5f76774d3e33fa9ce7,0,,,ensemble,1.0,0.3881672597864769,0.4574733096085409,0.1387900355871886,0.21032028469750888
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Mexico_AP_size0.7,out_domain,Mexico,AP,0.3804713804713804,0.13804713804713806,"[0.32533670033670037, 0.4184343434343435]","[0.10437710437710437, 0.17356902356902357]",1222,297,346.35383200645447,,219.34587216377258,126.92099189758301,5091e3bb508038ea034f28b20fb27ea6765cd5c8e1453388c01ef716,0,,,ensemble,1.0,0.32533670033670037,0.4184343434343435,0.10437710437710437,0.17356902356902357
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_AP_Dar_size0.7,out_domain,AP,Dar,0.4691358024691359,0.12037037037037036,"[0.4253086419753087, 0.5205246913580247]","[0.09174382716049383, 0.15686728395061728]",1186,324,354.74299788475037,,216.3736822605133,138.29770588874817,a556656f16c83db04ecf858f1d6b2eba6fea4f3925156fc21d96b5cc,0,,,ensemble,1.0,0.4253086419753087,0.5205246913580247,0.09174382716049383,0.15686728395061728
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Mexico_Dar_size0.7,out_domain,Mexico,Dar,0.39628482972136225,0.17901234567901234,"[0.3448302469135802, 0.42145061728395067]","[0.15177469135802468, 0.20540123456790121]",1222,324,359.52538204193115,,228.08437824249268,131.36950278282166,3f55b59f99fdd4eb3217041ad3458592b602d111446eb9f85e017526,0,,,ensemble,1.0,0.3448302469135802,0.42145061728395067,0.15177469135802468,0.20540123456790121
