experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
xgboost_out_domain_Bohol_Pemba_size1.0,out_domain,Bohol,Pemba,0.15000000000000002,0.06666666666666667,"[0.0666666666666666, 0.23333333333333334]","[0.016666666666666666, 0.14208333333333317]",1001,60,389.5753700733185,382.4154779911041,6.324813604354858,0.07595205307006836,fcba81e16e3cfae5851695eb06cdb3dfa5b14f08498dc95fc618d420,0,,xgboost,1.0,0.0666666666666666,0.23333333333333334,0.016666666666666666,0.14208333333333317
xgboost_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.8614864864864865,0.494949494949495,"[0.771875, 0.8549865206115206]","[0.4444444444444444, 0.5420875420875421]",1186,297,527.6085648536682,520.4968819618225,6.36571741104126,0.24161601066589355,53943af22d72227b94c9be99d8815aa3367daab003be29df26ad3410,0,,xgboost,1.0,0.771875,0.8549865206115206,0.4444444444444444,0.5420875420875421
xgboost_out_domain_Pemba_Dar_size1.0,out_domain,Pemba,Dar,0.04334365325077394,0.021604938271604937,"[0.02472766884531583, 0.06653050108932461]","[0.009259259259259259, 0.037037037037037035]",237,324,450.69240498542786,449.2109179496765,0.7479701042175293,0.08233404159545898,8fadea4065676a69f26c6616e90209c88b017a0e2bd4c8559602e290,0,,xgboost,1.0,0.02472766884531583,0.06653050108932461,0.009259259259259259,0.037037037037037035
xgboost_out_domain_Pemba_Bohol_size1.0,out_domain,Pemba,Bohol,0.02390438247011961,0.0199203187250996,"[0.007968127490039886, 0.047808764940239]","[0.00796812749003984, 0.043824701195219126]",237,251,468.788526058197,467.2375400066376,1.1091301441192627,0.0792539119720459,a74dcf21c22e82f7991f63ddcefc9d3b7c2b87c104d8ac0d5a381e29,0,,xgboost,1.0,0.007968127490039886,0.047808764940239,0.00796812749003984,0.043824701195219126
xgboost_out_domain_Bohol_UP_size1.0,out_domain,Bohol,UP,0.2313167259786476,0.12099644128113879,"[0.18505338078291805, 0.2723309608540925]","[0.08540925266903915, 0.15845195729537365]",1001,281,440.6669170856476,435.93678402900696,4.092105150222778,0.12641096115112305,0e4d4a456fd4ebf7df469a65ae086d9c131c173f897297ac9558e1f5,0,,xgboost,1.0,0.18505338078291805,0.2723309608540925,0.08540925266903915,0.15845195729537365
xgboost_out_domain_Dar_Pemba_size1.0,out_domain,Dar,Pemba,0.10169491525423724,0.016666666666666666,"[0.03389830508474567, 0.16949152542372886]","[0.0, 0.05]",1293,60,212.99155282974243,207.1135311126709,5.764478921890259,0.07735896110534668,fcba81e16e3cfae5851695eb06cdb3dfa5b14f08498dc95fc618d420,0,,xgboost,1.0,0.03389830508474567,0.16949152542372886,0.0,0.05
xgboost_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.8006535947712419,0.38235294117647056,"[0.6991830065359478, 0.8167084538733527]","[0.3283496732026144, 0.42982026143790847]",611,306,213.71054983139038,210.10211992263794,3.3767189979553223,0.17874717712402344,86180b1ea24435c97b7e78dcfd5d5b7554833786291bfaa959de7a88,0,,xgboost,0.5,0.6991830065359478,0.8167084538733527,0.3283496732026144,0.42982026143790847
xgboost_out_domain_Dar_Mexico_size1.0,out_domain,Dar,Mexico,0.1470588235294119,0.0392156862745098,"[0.10784313725490202, 0.1895424836601307]","[0.021160130718954256, 0.06380718954248364]",1293,306,218.4421901702881,215.36743330955505,2.919842004776001,0.11729097366333008,a74dcf21c22e82f7991f63ddcefc9d3b7c2b87c104d8ac0d5a381e29,0,,xgboost,1.0,0.10784313725490202,0.1895424836601307,0.021160130718954256,0.06380718954248364
xgboost_out_domain_Dar_UP_size1.0,out_domain,Dar,UP,0.12811387900355886,0.046263345195729534,"[0.09777580071174374, 0.1762455516014235]","[0.028469750889679714, 0.07304270462633448]",1293,281,226.62934017181396,220.80692386627197,5.651494979858398,0.12518000602722168,53943af22d72227b94c9be99d8815aa3367daab003be29df26ad3410,0,,xgboost,1.0,0.09777580071174374,0.1762455516014235,0.028469750889679714,0.07304270462633448
xgboost_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.8169934640522876,0.42483660130718953,"[0.7270424836601308, 0.8350490196078432]","[0.37892156862745097, 0.47075163398692804]",916,306,229.58715081214905,227.25501108169556,2.048306941986084,0.15563702583312988,a02865d52d94569307260085c0a3eb2e0bc3ebe32cd94ba42f00ca32,0,,xgboost,0.75,0.7270424836601308,0.8350490196078432,0.37892156862745097,0.47075163398692804
xgboost_training_size_Mexico_Mexico_size1.0,training_size,Mexico,Mexico,0.8398692810457516,0.4411764705882353,"[0.756454248366013, 0.8482843137254901]","[0.38872549019607844, 0.49534313725490187]",1222,306,230.22766590118408,223.4552710056305,6.1347808837890625,0.2951180934906006,3498e4486c91e34edd712f5d95c819102fe3466d954cde446bc29549,0,,xgboost,1.0,0.756454248366013,0.8482843137254901,0.38872549019607844,0.49534313725490187
xgboost_out_domain_Bohol_Dar_size1.0,out_domain,Bohol,Dar,0.4012345679012346,0.1419753086419753,"[0.33155864197530877, 0.4104938271604939]","[0.10949074074074074, 0.17137345679012342]",1001,324,232.95833086967468,230.71041011810303,2.120023012161255,0.10423564910888672,0e4d4a456fd4ebf7df469a65ae086d9c131c173f897297ac9558e1f5,0,,xgboost,1.0,0.33155864197530877,0.4104938271604939,0.10949074074074074,0.17137345679012342
xgboost_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.8496732026143791,0.35947712418300654,"[0.7499183006535948, 0.8626778634951248]","[0.31699346405228757, 0.4019607843137255]",305,306,239.66805577278137,237.49480605125427,1.8982717990875244,0.14978289604187012,df6e8556bd9f620c196b7252970dd933aed1599dc224dd89f7c31948,0,,xgboost,0.25,0.7499183006535948,0.8626778634951248,0.31699346405228757,0.4019607843137255
xgboost_out_domain_Dar_Bohol_size1.0,out_domain,Dar,Bohol,0.4342629482071714,0.21115537848605578,"[0.36045816733067737, 0.47430278884462146]","[0.1593625498007968, 0.26294820717131473]",1293,251,244.32582879066467,239.34588098526,4.827224016189575,0.10817217826843262,eb901561db2ab40a0300f928cfa17dc3110611245caca782c48581a4,0,,xgboost,1.0,0.36045816733067737,0.47430278884462146,0.1593625498007968,0.26294820717131473
xgboost_out_domain_Dar_AP_size1.0,out_domain,Dar,AP,0.10437710437710446,0.006734006734006734,"[0.06893939393939391, 0.13131313131313127]","[0.0, 0.013468013468013467]",1293,297,275.1649830341339,266.8140518665314,8.136863946914673,0.17569494247436523,8fadea4065676a69f26c6616e90209c88b017a0e2bd4c8559602e290,0,,xgboost,1.0,0.06893939393939391,0.13131313131313127,0.0,0.013468013468013467
