experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
ensemble_soft_performance_size3_xgb_rf_cnb_out_domain_Mexico_AP_size0.7,out_domain,Mexico,AP,0.4882154882154882,0.17845117845117844,"[0.4042929292929293, 0.5353535353535354]","[0.1414141414141414, 0.21734006734006733]",1222,297,0.8151390552520752,,0.5593197345733643,0.09988808631896973,76aa1b134219d6d9be818e1bfdd6fa25bdfde6344335dae0d45b7ac7,0,,,ensemble,1.0,0.4042929292929293,0.5353535353535354,0.1414141414141414,0.21734006734006733
ensemble_soft_performance_size3_xgb_rf_cnb_out_domain_Mexico_UP_size0.7,out_domain,Mexico,UP,0.4341637010676156,0.20640569395017794,"[0.3781138790035587, 0.47562277580071166]","[0.1552491103202847, 0.2556049822064057]",1222,281,0.6812198162078857,,0.5595381259918213,0.1017599105834961,762dbff61b4addb00572b46c68efb51e1269786b4c7af2e5d27991ab,0,,,ensemble,1.0,0.3781138790035587,0.47562277580071166,0.1552491103202847,0.2556049822064057
ensemble_soft_none_size5_xgb_rf_cnb_lr_ins_in_domain_AP_AP_size0.7,in_domain,AP,AP,0.7770270270270271,0.4107744107744108,"[0.7146271271271272, 0.7852406383656384]","[0.37617845117845117, 0.46835016835016835]",1186,297,385.09599900245667,,248.4755711555481,136.5036187171936,66e685755865b186e5f833cb77c210e007aa494c11c77e1b79401b32,0,,,ensemble,1.0,0.7146271271271272,0.7852406383656384,0.37617845117845117,0.46835016835016835
ensemble_soft_none_size5_xgb_rf_cnb_lr_ins_out_domain_Mexico_AP_size0.7,out_domain,Mexico,AP,0.49831649831649827,0.25925925925925924,"[0.41439393939393937, 0.5430134680134681]","[0.21456228956228957, 0.3058080808080808]",1222,297,362.9507210254669,,239.26966309547424,123.66678214073181,aae5a655f434440afcdf890bf55663c26616412301e7e426fa4c8c96,0,,,ensemble,1.0,0.41439393939393937,0.5430134680134681,0.21456228956228957,0.3058080808080808
ensemble_soft_none_size5_xgb_rf_cnb_lr_ins_out_domain_Mexico_UP_size0.7,out_domain,Mexico,UP,0.5160142348754448,0.24199288256227758,"[0.4405693950177935, 0.5312277580071174]","[0.19475088967971532, 0.28505338078291814]",1222,281,365.6388568878174,,246.79280519485474,118.75973415374756,0f366e1fa2b34c4b0847b41f024133a8be32e9983633a7df36093d50,0,,,ensemble,1.0,0.4405693950177935,0.5312277580071174,0.19475088967971532,0.28505338078291814
ensemble_soft_none_size5_xgb_rf_cnb_lr_ins_out_domain_AP_Mexico_size0.7,out_domain,AP,Mexico,0.6372549019607843,0.2222222222222222,"[0.5561274509803922, 0.6586601307189542]","[0.19281045751633988, 0.2525326797385621]",1186,306,364.3841588497162,,233.44563388824463,130.8734347820282,baea9e64ded48ab102b01add0d114ffcd86a1174792626cf002830a0,0,,,ensemble,1.0,0.5561274509803922,0.6586601307189542,0.19281045751633988,0.2525326797385621
ensemble_soft_none_size5_xgb_rf_cnb_lr_ins_out_domain_AP_UP_size0.7,out_domain,AP,UP,0.7366548042704626,0.35231316725978645,"[0.6385987544483986, 0.7554270462633452]","[0.29083629893238433, 0.4040925266903914]",1186,281,361.08363699913025,,241.8472080230713,119.22886085510254,d5336dbd391a6b4d1ed056e620b19c67b69b70f6a421998750dcb343,0,,,ensemble,1.0,0.6385987544483986,0.7554270462633452,0.29083629893238433,0.4040925266903914
ensemble_soft_none_size5_xgb_cnb_ins_rf_lr_in_domain_AP_AP_size0.7,in_domain,AP,AP,0.7770270270270271,0.4107744107744108,"[0.7146271271271272, 0.7852406383656384]","[0.37617845117845117, 0.46835016835016835]",1186,297,350.8098769187927,,235.92352509498596,114.84542202949524,32b7848ae16d54c374005792eea3cb40fc704701b8b086352f1ca6a8,0,,,ensemble,1.0,0.7146271271271272,0.7852406383656384,0.37617845117845117,0.46835016835016835
ensemble_soft_none_size5_xgb_cnb_ins_rf_lr_in_domain_Mexico_Mexico_size0.7,in_domain,Mexico,Mexico,0.7647058823529411,0.37254901960784315,"[0.6960784313725491, 0.7748724954462659]","[0.3163398692810458, 0.4174836601307189]",1222,306,354.003586769104,,242.36040806770325,111.63420224189758,55e74d03b01ccb2441368798803c1de2caa8b22d7209910bf29485ad,0,,,ensemble,1.0,0.6960784313725491,0.7748724954462659,0.3163398692810458,0.4174836601307189
ensemble_soft_none_size5_xgb_cnb_ins_rf_lr_out_domain_Mexico_AP_size0.7,out_domain,Mexico,AP,0.49831649831649827,0.25925925925925924,"[0.41439393939393937, 0.5430134680134681]","[0.21456228956228957, 0.3058080808080808]",1222,297,353.42430782318115,,248.03745198249817,105.28778100013733,6eb17cd0fd76b8a44bdce33cb78cfeb395ea3cd9afb5fe9157243f2a,0,,,ensemble,1.0,0.41439393939393937,0.5430134680134681,0.21456228956228957,0.3058080808080808
