experiment_id,experiment_type,train_site,test_site,random_seed,csmf_accuracy,cod_accuracy,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
xgboost_out_domain_AP_UP_seed1,out_domain,AP,UP,1,0.7508896797153025,0.42704626334519574,1186,281,0.909987211227417,,0.8166720867156982,0.02719283103942871,086379252baf3ef814a6dbe1a98dc7c5eff1beac407ff05acd2fbd36,0,,,xgboost,1.0,,,,
xgboost_out_domain_Bohol_AP_seed1,out_domain,Bohol,AP,1,0.2154882154882154,0.07744107744107744,1001,297,0.6937568187713623,,0.5677099227905273,0.022207021713256836,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,xgboost,1.0,,,,
logistic_regression_out_domain_AP_UP_seed1,out_domain,AP,UP,1,0.5338078291814947,0.2313167259786477,1186,281,0.9551351070404053,,0.9280540943145752,0.006052970886230469,0f14c0881292f54da5f75179e318efb789737cd09591a45c402e6361,0,,,logistic_regression,1.0,,,,
random_forest_out_domain_Bohol_AP_seed1,out_domain,Bohol,AP,1,0.12794612794612792,0.050505050505050504,1001,297,0.3260359764099121,,0.21874094009399414,0.08416318893432617,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,random_forest,1.0,,,,
categorical_nb_out_domain_Bohol_AP_seed1,out_domain,Bohol,AP,1,0.23232323232323238,0.06734006734006734,1001,297,0.1348891258239746,,0.057698965072631836,0.02477121353149414,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,categorical_nb,1.0,,,,
logistic_regression_out_domain_Bohol_AP_seed1,out_domain,Bohol,AP,1,0.3097643097643098,0.05723905723905724,1001,297,0.7451770305633545,,0.7074911594390869,0.005967855453491211,0f14c0881292f54da5f75179e318efb789737cd09591a45c402e6361,0,,,logistic_regression,1.0,,,,
xgboost_out_domain_Bohol_Dar_seed1,out_domain,Bohol,Dar,1,0.6666666666666666,0.28703703703703703,1001,324,0.7014153003692627,,0.5702929496765137,0.022654056549072266,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,xgboost,1.0,,,,
random_forest_out_domain_Bohol_Dar_seed1,out_domain,Bohol,Dar,1,0.537037037037037,0.28703703703703703,1001,324,0.2568488121032715,,0.16028308868408203,0.05662894248962402,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,random_forest,1.0,,,,
logistic_regression_out_domain_Bohol_Dar_seed1,out_domain,Bohol,Dar,1,0.5572755417956656,0.24074074074074073,1001,324,0.8781378269195557,,0.707517147064209,0.006570100784301758,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,logistic_regression,1.0,,,,
categorical_nb_out_domain_Bohol_Dar_seed1,out_domain,Bohol,Dar,1,0.18518518518518523,0.046296296296296294,1001,324,0.194504976272583,,0.05696415901184082,0.028581857681274414,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,categorical_nb,1.0,,,,
xgboost_out_domain_Bohol_Mexico_seed1,out_domain,Bohol,Mexico,1,0.12418300653594772,0.03594771241830065,1001,306,0.689241886138916,,0.6040160655975342,0.02471613883972168,d5eb4232904c2e23df238a50b0fc189de9389d187986326c621ac5f2,0,,,xgboost,1.0,,,,
insilico_out_domain_AP_Pemba_seed1,out_domain,AP,Pemba,1,0.21666666666666667,0.13333333333333333,1186,60,36.86972117424011,,0.002179861068725586,36.33192682266235,5022977927b05970f6c5fb3b1870aa80b17058ccf10f15e94cef8500,0,,,insilico,1.0,,,,
random_forest_out_domain_Bohol_Mexico_seed1,out_domain,Bohol,Mexico,1,0.06209150326797397,0.03594771241830065,1001,306,0.21891093254089355,,0.15435075759887695,0.057041168212890625,5022977927b05970f6c5fb3b1870aa80b17058ccf10f15e94cef8500,0,,,random_forest,1.0,,,,
logistic_regression_out_domain_Bohol_Mexico_seed1,out_domain,Bohol,Mexico,1,0.27450980392156865,0.07516339869281045,1001,306,0.7947750091552734,,0.7729380130767822,0.006251096725463867,5022977927b05970f6c5fb3b1870aa80b17058ccf10f15e94cef8500,0,,,logistic_regression,1.0,,,,
categorical_nb_out_domain_Bohol_Mexico_seed1,out_domain,Bohol,Mexico,1,0.20261437908496738,0.042483660130718956,1001,306,0.317216157913208,,0.06114006042480469,0.025285959243774414,5022977927b05970f6c5fb3b1870aa80b17058ccf10f15e94cef8500,0,,,categorical_nb,1.0,,,,
xgboost_out_domain_Bohol_Pemba_seed1,out_domain,Bohol,Pemba,1,0.1000000000000002,0.016666666666666666,1001,60,0.6921510696411133,,0.6464872360229492,0.006840705871582031,5022977927b05970f6c5fb3b1870aa80b17058ccf10f15e94cef8500,0,,,xgboost,1.0,,,,
