experiment_id,experiment_type,train_site,test_site,random_seed,csmf_accuracy,cod_accuracy,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
xgboost_in_domain_UP_UP_seed1,in_domain,UP,UP,1,0.984251968503937,0.7188612099644128,1124,281,0.18990111351013184,,0.16642212867736816,0.012109994888305664,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,xgboost,1.0,,,,
random_forest_in_domain_UP_UP_seed1,in_domain,UP,UP,1,0.9173228346456692,0.7046263345195729,1124,281,0.1786208152770996,,0.12856483459472656,0.035363197326660156,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,random_forest,1.0,,,,
categorical_nb_in_domain_UP_UP_seed1,in_domain,UP,UP,1,0.9015748031496063,0.6832740213523132,1124,281,0.07288908958435059,,0.04559516906738281,0.02292799949645996,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,categorical_nb,1.0,,,,
logistic_regression_in_domain_UP_UP_seed1,in_domain,UP,UP,1,0.9566929133858267,0.7224199288256228,1124,281,0.2751638889312744,,0.211806058883667,0.006403684616088867,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,logistic_regression,1.0,,,,
xgboost_in_domain_AP_AP_seed2,in_domain,AP,AP,2,0.9469964664310955,0.6835016835016835,1186,297,0.2669241428375244,,0.199052095413208,0.012160062789916992,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,xgboost,1.0,,,,
random_forest_in_domain_AP_AP_seed2,in_domain,AP,AP,2,0.9717314487632509,0.6632996632996633,1186,297,0.18270397186279297,,0.11928701400756836,0.05393481254577637,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,random_forest,1.0,,,,
logistic_regression_in_domain_AP_AP_seed2,in_domain,AP,AP,2,0.8798586572438163,0.6531986531986532,1186,297,0.2406599521636963,,0.22478795051574707,0.006909847259521484,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,logistic_regression,1.0,,,,
categorical_nb_in_domain_AP_AP_seed2,in_domain,AP,AP,2,0.6749116607773851,0.48148148148148145,1186,297,0.07352614402770996,,0.046566009521484375,0.02326488494873047,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,categorical_nb,1.0,,,,
xgboost_in_domain_Bohol_Bohol_seed2,in_domain,Bohol,Bohol,2,0.9711934156378601,0.5976095617529881,1001,251,0.17909908294677734,,0.16025018692016602,0.011488676071166992,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,xgboost,1.0,,,,
random_forest_in_domain_Bohol_Bohol_seed2,in_domain,Bohol,Bohol,2,0.8477366255144033,0.5737051792828686,1001,251,0.14388513565063477,,0.10209107398986816,0.03273606300354004,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,random_forest,1.0,,,,
logistic_regression_in_domain_Bohol_Bohol_seed2,in_domain,Bohol,Bohol,2,0.7242798353909465,0.3904382470119522,1001,251,0.20076870918273926,,0.18538284301757812,0.006487131118774414,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,logistic_regression,1.0,,,,
insilico_in_domain_Pemba_Pemba_seed1,in_domain,Pemba,Pemba,1,0.9215686274509804,0.7333333333333333,237,60,28.00403594970703,,0.0015599727630615234,27.178314208984375,51f34d22ea39139f6fb3b226941a695bb3fe8e10097155c698b95337,0,,,insilico,1.0,,,,
categorical_nb_in_domain_Bohol_Bohol_seed2,in_domain,Bohol,Bohol,2,0.24691358024691357,0.13147410358565736,1001,251,0.07891488075256348,,0.04725790023803711,0.02491021156311035,51f34d22ea39139f6fb3b226941a695bb3fe8e10097155c698b95337,0,,,categorical_nb,1.0,,,,
xgboost_in_domain_Dar_Dar_seed2,in_domain,Dar,Dar,2,0.923076923076923,0.7222222222222222,1293,324,0.301088809967041,,0.18669891357421875,0.012835025787353516,51f34d22ea39139f6fb3b226941a695bb3fe8e10097155c698b95337,0,,,xgboost,1.0,,,,
random_forest_in_domain_Dar_Dar_seed2,in_domain,Dar,Dar,2,0.9030100334448161,0.6790123456790124,1293,324,0.7424767017364502,,0.3752279281616211,0.0468747615814209,51f34d22ea39139f6fb3b226941a695bb3fe8e10097155c698b95337,0,,,random_forest,1.0,,,,
insilico_in_domain_Bohol_Bohol_seed2,in_domain,Bohol,Bohol,2,0.9300411522633745,0.5179282868525896,1001,251,40.11469125747681,,0.0020089149475097656,39.98106503486633,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,insilico,1.0,,,,
insilico_in_domain_Bohol_Bohol_seed1,in_domain,Bohol,Bohol,1,0.8888888888888888,0.545816733067729,1001,251,42.72520422935486,,0.0017588138580322266,41.1048309803009,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,insilico,1.0,,,,
