label,model,train_site,test_site,random_seed,csmf_accuracy,cod_accuracy,n_train,n_test,execution_time_seconds
cod5,categorical_nb,AP,AP,1,0.7349823321554771,0.4882154882154882,1186,297,0.0793771743774414
cod5,xgboost,AP,AP,1,0.9575971731448764,0.6632996632996633,1186,297,0.2173151969909668
cod5,random_forest,AP,AP,1,0.9681978798586572,0.6666666666666666,1186,297,0.231306791305542
cod5,logistic_regression,AP,AP,1,0.8515901060070672,0.6464646464646465,1186,297,0.2448649406433105
cod5,categorical_nb,Bohol,Bohol,1,0.2633744855967078,0.1553784860557769,1001,251,0.0850660800933837
cod5,logistic_regression,Bohol,Bohol,1,0.831275720164609,0.4940239043824701,1001,251,0.2272768020629882
cod5,random_forest,Bohol,Bohol,1,0.8436213991769548,0.6414342629482072,1001,251,0.3380436897277832
cod5,xgboost,Bohol,Bohol,1,0.97119341563786,0.6254980079681275,1001,251,0.3454892635345459
cod5,random_forest,Dar,Dar,1,0.9364548494983278,0.75,1293,324,0.1920602321624755
cod5,xgboost,Dar,Dar,1,0.9632107023411371,0.7716049382716049,1293,324,0.3253378868103027
cod5,logistic_regression,Dar,Dar,1,0.8160535117056855,0.7129629629629629,1293,324,0.2651231288909912
cod5,categorical_nb,Dar,Dar,1,0.3612040133779262,0.3055555555555556,1293,324,0.2957487106323242
cod5,categorical_nb,Mexico,Mexico,1,0.5117056856187291,0.349673202614379,1222,306,0.0771799087524414
cod5,xgboost,Mexico,Mexico,1,0.9565217391304348,0.6895424836601307,1222,306,0.4148447513580322
cod5,random_forest,Mexico,Mexico,1,0.8160535117056856,0.6895424836601307,1222,306,0.2650907039642334
cod5,logistic_regression,Mexico,Mexico,1,0.822742474916388,0.6111111111111112,1222,306,0.3213851451873779
cod5,xgboost,Pemba,Pemba,1,0.8627450980392157,0.75,237,60,0.1677379608154297
cod5,categorical_nb,Pemba,Pemba,1,0.5686274509803921,0.5,237,60,0.0270400047302246
cod5,random_forest,Pemba,Pemba,1,0.9019607843137256,0.6833333333333333,237,60,0.1363120079040527
cod5,logistic_regression,Pemba,Pemba,1,0.9019607843137256,0.6166666666666667,237,60,0.0666267871856689
cod5,xgboost,UP,UP,1,0.984251968503937,0.7188612099644128,1124,281,0.1899011135101318
cod5,random_forest,UP,UP,1,0.9173228346456692,0.7046263345195729,1124,281,0.1786208152770996
cod5,categorical_nb,UP,UP,1,0.9015748031496064,0.6832740213523132,1124,281,0.0728890895843505
cod5,logistic_regression,UP,UP,1,0.9566929133858268,0.7224199288256228,1124,281,0.2751638889312744
cod5,xgboost,AP,AP,2,0.9469964664310956,0.6835016835016835,1186,297,0.2669241428375244
cod5,random_forest,AP,AP,2,0.9717314487632508,0.6632996632996633,1186,297,0.1827039718627929
cod5,logistic_regression,AP,AP,2,0.8798586572438163,0.6531986531986532,1186,297,0.2406599521636963
cod5,categorical_nb,AP,AP,2,0.6749116607773851,0.4814814814814814,1186,297,0.0735261440277099
cod5,xgboost,Bohol,Bohol,2,0.97119341563786,0.5976095617529881,1001,251,0.1790990829467773
cod5,random_forest,Bohol,Bohol,2,0.8477366255144033,0.5737051792828686,1001,251,0.1438851356506347
cod5,logistic_regression,Bohol,Bohol,2,0.7242798353909465,0.3904382470119522,1001,251,0.2007687091827392
cod5,insilico,Pemba,Pemba,1,0.9215686274509804,0.7333333333333333,237,60,28.00403594970703
cod5,categorical_nb,Bohol,Bohol,2,0.2469135802469135,0.1314741035856573,1001,251,0.0789148807525634
cod5,xgboost,Dar,Dar,2,0.923076923076923,0.7222222222222222,1293,324,0.301088809967041
cod5,random_forest,Dar,Dar,2,0.903010033444816,0.6790123456790124,1293,324,0.7424767017364502
cod5,insilico,Bohol,Bohol,2,0.9300411522633744,0.5179282868525896,1001,251,40.11469125747681
cod5,insilico,Bohol,Bohol,1,0.8888888888888888,0.545816733067729,1001,251,42.72520422935486
cod5,categorical_nb,Dar,Dar,2,0.3177257525083611,0.2993827160493827,1293,324,0.2162456512451172
cod5,logistic_regression,Dar,Dar,2,0.8528428093645485,0.6512345679012346,1293,324,0.4294488430023193
cod5,xgboost,Mexico,Mexico,2,0.94314381270903,0.673202614379085,1222,306,1.584907054901123
cod5,random_forest,Mexico,Mexico,2,0.7692307692307693,0.673202614379085,1222,306,0.2831258773803711
cod5,logistic_regression,Mexico,Mexico,2,0.7792642140468227,0.5915032679738562,1222,306,0.6837868690490723
cod5,categorical_nb,Mexico,Mexico,2,0.4849498327759197,0.2810457516339869,1222,306,0.084238052368164
cod5,insilico,UP,UP,1,0.9645669291338582,0.708185053380783,1124,281,47.147916078567505
cod5,insilico,AP,AP,1,0.9151943462897528,0.5858585858585859,1186,297,49.74714183807373
cod5,insilico,AP,AP,2,0.8975265017667845,0.6195286195286195,1186,297,48.38125991821289
cod5,insilico,Dar,Dar,1,0.9130434782608696,0.7067901234567902,1293,324,49.7889096736908
cod5,insilico,Mexico,Mexico,1,0.8595317725752508,0.6437908496732027,1222,306,50.10565400123596
cod5,insilico,Dar,Dar,2,0.919732441471572,0.7067901234567902,1293,324,33.00065875053406
cod5,insilico,Mexico,Mexico,2,0.8595317725752508,0.5816993464052288,1222,306,27.022641897201535
cod5,categorical_nb,Pemba,Pemba,2,0.4901960784313725,0.4833333333333333,237,60,0.0517120361328125
cod5,logistic_regression,Pemba,Pemba,2,0.8431372549019608,0.6833333333333333,237,60,0.0771501064300537
cod5,xgboost,Pemba,Pemba,2,0.9215686274509804,0.7166666666666667,237,60,0.0913190841674804
cod5,random_forest,Pemba,Pemba,2,0.9607843137254902,0.7333333333333333,237,60,0.1921079158782959
cod5,categorical_nb,UP,UP,2,0.8858267716535433,0.6156583629893239,1124,281,0.2016208171844482
cod5,random_forest,UP,UP,2,0.9645669291338582,0.6797153024911032,1124,281,0.2891461849212646
cod5,logistic_regression,UP,UP,2,0.9409448818897638,0.697508896797153,1124,281,0.2517189979553222
cod5,xgboost,AP,AP,3,0.9469964664310954,0.7037037037037037,1186,297,0.34987473487854
cod5,xgboost,UP,UP,2,0.9606299212598424,0.7366548042704626,1124,281,0.4832689762115478
cod5,logistic_regression,AP,AP,3,0.8904593639575972,0.6430976430976431,1186,297,0.2999000549316406
cod5,random_forest,AP,AP,3,0.9681978798586572,0.6801346801346801,1186,297,0.3113000392913818
cod5,random_forest,Bohol,Bohol,3,0.8436213991769548,0.6334661354581673,1001,251,0.2781310081481933
cod5,categorical_nb,AP,AP,3,0.7137809187279152,0.5252525252525253,1186,297,0.5756080150604248
cod5,categorical_nb,Bohol,Bohol,3,0.2345679012345679,0.1314741035856573,1001,251,0.1149020195007324
cod5,xgboost,Bohol,Bohol,3,0.9588477366255144,0.5936254980079682,1001,251,0.6175880432128906
cod5,logistic_regression,Bohol,Bohol,3,0.6666666666666667,0.4183266932270916,1001,251,0.6695296764373779
cod5,random_forest,Dar,Dar,3,0.9297658862876256,0.7191358024691358,1293,324,0.2867088317871094
cod5,xgboost,Dar,Dar,3,0.939799331103679,0.75,1293,324,0.5401887893676758
cod5,categorical_nb,Dar,Dar,3,0.354515050167224,0.3364197530864197,1293,324,0.1274962425231933
cod5,logistic_regression,Dar,Dar,3,0.802675585284281,0.691358024691358,1293,324,0.361962080001831
cod5,xgboost,Mexico,Mexico,3,0.9732441471571908,0.7058823529411765,1222,306,0.4484460353851318
cod5,random_forest,Mexico,Mexico,3,0.802675585284281,0.7058823529411765,1222,306,0.4730458259582519
cod5,categorical_nb,Mexico,Mexico,3,0.4916387959866221,0.3006535947712418,1222,306,0.0800750255584716
cod5,xgboost,Pemba,Pemba,3,0.8627450980392157,0.7333333333333333,237,60,0.1429400444030761
cod5,logistic_regression,Mexico,Mexico,3,0.7591973244147157,0.5392156862745098,1222,306,0.4218251705169678
cod5,random_forest,Pemba,Pemba,3,0.8823529411764706,0.6833333333333333,237,60,0.2427802085876464
cod5,logistic_regression,Pemba,Pemba,3,0.8431372549019608,0.6666666666666666,237,60,0.1186368465423584
cod5,categorical_nb,Pemba,Pemba,3,0.5294117647058822,0.5166666666666667,237,60,0.0565388202667236
cod5,xgboost,UP,UP,3,0.9488188976377953,0.6583629893238434,1124,281,0.1819179058074951
cod5,random_forest,UP,UP,3,0.9409448818897638,0.6690391459074733,1124,281,0.3441638946533203
cod5,insilico,Pemba,Pemba,2,0.8823529411764706,0.8,237,60,20.484965801239017
cod5,logistic_regression,UP,UP,3,0.9251968503937008,0.6654804270462633,1124,281,0.2202320098876953
cod5,categorical_nb,UP,UP,3,0.8779527559055118,0.6156583629893239,1124,281,0.2054891586303711
cod5,xgboost,AP,AP,4,0.9823321554770318,0.7104377104377104,1186,297,0.235029935836792
cod5,random_forest,AP,AP,4,0.9646643109540636,0.6565656565656566,1186,297,0.32275390625
cod5,insilico,Pemba,Pemba,3,0.8627450980392157,0.7,237,60,19.59705901145935
cod5,logistic_regression,AP,AP,4,0.7561837455830389,0.5723905723905723,1186,297,0.304502010345459
cod5,categorical_nb,AP,AP,4,0.7067137809187279,0.5084175084175084,1186,297,0.0720179080963134
cod5,xgboost,Bohol,Bohol,4,0.9670781893004116,0.6135458167330677,1001,251,0.3271300792694092
cod5,random_forest,Bohol,Bohol,4,0.8395061728395062,0.5697211155378487,1001,251,0.2358019351959228
cod5,insilico,Bohol,Bohol,3,0.8930041152263375,0.5418326693227091,1001,251,39.939897775650024
cod5,logistic_regression,Bohol,Bohol,4,0.7489711934156378,0.4302788844621514,1001,251,0.2175028324127197
cod5,categorical_nb,Bohol,Bohol,4,0.242798353909465,0.1434262948207171,1001,251,0.090303897857666
cod5,insilico,UP,UP,2,0.9330708661417324,0.6654804270462633,1124,281,41.486248254776
cod5,insilico,AP,AP,3,0.8869257950530035,0.6363636363636364,1186,297,42.11588716506958
cod5,insilico,Mexico,Mexico,3,0.785953177257525,0.565359477124183,1222,306,43.23553276062012
cod5,insilico,Dar,Dar,3,0.8762541806020067,0.7067901234567902,1293,324,43.98664975166321
cod5,insilico,UP,UP,3,0.9133858267716536,0.6298932384341637,1124,281,43.68856906890869
cod5,insilico,Bohol,Bohol,4,0.8518518518518519,0.50199203187251,1001,251,26.753865957260132
cod5,insilico,AP,AP,4,0.911660777385159,0.6026936026936027,1186,297,30.268112897872925
