experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
insilico_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.8813559322033898,0.5333333333333333,"[0.8077661826981246, 0.9076271186440678]","[0.50375, 0.6425000000000001]",237,60,24.834877252578735,,0.002007007598876953,24.452733993530273,ba4f7e971401832c6a1edd395ed098fefbb3704cddbdaaa0f48892ef,0,,insilico,1.0,0.8077661826981246,0.9076271186440678,0.50375,0.6425000000000001
insilico_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.30000000000000004,0.16666666666666666,"[0.22791666666666666, 0.3425]","[0.07625000000000003, 0.2554166666666667]",1222,60,38.390095233917236,,0.0026769638061523438,38.258445739746094,c299b01bdb1e1e7104a5f4b4b105904d25553adaf6754a0554857401,0,,insilico,1.0,0.22791666666666666,0.3425,0.07625000000000003,0.2554166666666667
insilico_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.3666666666666667,0.23333333333333334,"[0.31666666666666654, 0.43875]","[0.18708333333333332, 0.32958333333333334]",1186,60,39.35300922393799,,0.002421855926513672,38.995482206344604,cf4eb12c833d9dbab9fb00720c045367b17e581a141803ca61ee4265,0,,insilico,1.0,0.31666666666666654,0.43875,0.18708333333333332,0.32958333333333334
insilico_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.33783783783783783,0.14814814814814814,"[0.29957770270270273, 0.36410472972972985]","[0.11565656565656565, 0.17095959595959595]",237,297,78.79299902915955,,0.0019540786743164062,78.4446918964386,8e9213e8a58583374a4cd7dd41fc667a71b1de1fabc396ce9c5e7887,0,,insilico,1.0,0.29957770270270273,0.36410472972972985,0.11565656565656565,0.17095959595959595
insilico_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.2557377049180327,0.08823529411764706,"[0.2009765962036239, 0.29360655737704927]","[0.06756535947712419, 0.09803921568627451]",237,306,81.18249487876892,,0.002207040786743164,81.00438594818115,fc37a62e0863db531c566e545a274d660fc10ab6a429bf3099c2fce0,0,,insilico,1.0,0.2009765962036239,0.29360655737704927,0.06756535947712419,0.09803921568627451
insilico_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.7475409836065574,0.27124183006535946,"[0.6794262295081968, 0.7518852459016393]","[0.23676470588235293, 0.2795751633986928]",305,306,119.23592400550842,,0.001844167709350586,118.86853384971619,76532719e08dbc63c671a6be070e18ee0fcfad03ca3473b40fb71bc6,0,,insilico,0.25,0.6794262295081968,0.7518852459016393,0.23676470588235293,0.2795751633986928
insilico_out_domain_Mexico_AP_size1.0,out_domain,Mexico,AP,0.3905723905723907,0.20202020202020202,"[0.3203703703703704, 0.4377104377104377]","[0.18181818181818182, 0.23905723905723905]",1222,297,126.36428689956665,,0.0028128623962402344,126.15483117103577,efba9bf86038cc3656e6af11bda23ffb9a60f86685c4ac212b23c177,0,,insilico,1.0,0.3203703703703704,0.4377104377104377,0.18181818181818182,0.23905723905723905
insilico_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.7409836065573772,0.3562091503267974,"[0.6655737704918032, 0.7457749137187231]","[0.2937908496732026, 0.36527777777777776]",1222,306,134.08285522460938,,0.0027909278869628906,133.71002507209778,42975c65ef928648d36147a78bf5050f9a436e0dfa7c1569e41bf430,0,,insilico,1.0,0.6655737704918032,0.7457749137187231,0.2937908496732026,0.36527777777777776
insilico_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.7409836065573772,0.27450980392156865,"[0.67140522875817, 0.7568201542912247]","[0.23202614379084968, 0.31503267973856214]",611,306,131.61964321136475,,0.002000093460083008,131.22657895088196,bbc6e94a27d86d1bc334765bd468192ccd087537571c9e5f23dfb883,0,,insilico,0.5,0.67140522875817,0.7568201542912247,0.23202614379084968,0.31503267973856214
insilico_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.7972972972972974,0.4276094276094276,"[0.7319552507052506, 0.8131537787787788]","[0.3805555555555556, 0.4781144781144781]",1186,297,140.1658058166504,,0.002554178237915039,139.78457593917847,feb500e1ab445a8b289482a991d74e756ba457dfb899a2e7d97eb464,0,,insilico,1.0,0.7319552507052506,0.8131537787787788,0.3805555555555556,0.4781144781144781
insilico_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.5816993464052287,0.2581699346405229,"[0.5214869281045751, 0.5882352941176471]","[0.21429738562091505, 0.3133169934640523]",1186,306,143.5476951599121,,0.0029859542846679688,143.35347390174866,c8088b28836c5e6516e88842db466597a29bf2ee9bebe43d6f49d9a0,0,,insilico,1.0,0.5214869281045751,0.5882352941176471,0.21429738562091505,0.3133169934640523
insilico_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.7442622950819673,0.3137254901960784,"[0.6747549019607842, 0.7547211507553842]","[0.2752450980392157, 0.33292483660130723]",916,306,134.2490701675415,,0.002035856246948242,134.08333706855774,2f63780407ec411819295dfcadcef2fc0882e31a7e8f98fe49067009,0,,insilico,0.75,0.6747549019607842,0.7547211507553842,0.2752450980392157,0.33292483660130723
xgboost_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.8851351351351351,0.494949494949495,"[0.7959769428519429, 0.8507063882063882]","[0.4482323232323232, 0.5338383838383839]",1186,297,494.2249011993408,486.7448651790619,6.6449689865112305,0.17722821235656738,bf47eedbd0172eb6f33566c7e2d1f106a0497cc28dced824ec1471c9,0,,xgboost,1.0,0.7959769428519429,0.8507063882063882,0.4482323232323232,0.5338383838383839
xgboost_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.8305084745762712,0.6166666666666667,"[0.7166666666666666, 0.8720833333333333]","[0.6, 0.7554166666666667]",237,60,546.8694820404053,545.1404118537903,1.052506923675537,0.02443408966064453,a381b7832dbc4fe183b475d8209a4bd93e27653e3914fb9aa04a0ed2,0,,xgboost,1.0,0.7166666666666666,0.8720833333333333,0.6,0.7554166666666667
xgboost_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.8562091503267975,0.41830065359477125,"[0.779983660130719, 0.8358660130718955]","[0.37655228758169934, 0.42663398692810456]",916,306,546.1887228488922,540.7131969928741,3.403282880783081,0.15813136100769043,d007635c4fe63ddf88af61ad8f88706086dcd3a7272cb991a104392a,0,,xgboost,0.75,0.779983660130719,0.8358660130718955,0.37655228758169934,0.42663398692810456
xgboost_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.26470588235294124,0.08496732026143791,"[0.23602941176470593, 0.2777777777777779]","[0.06683006535947712, 0.10163398692810457]",1186,306,594.1454141139984,585.5831978321075,8.0681791305542,0.09498977661132812,814cf3ef22d8fac4af0b29a3155bbb6b70ba3bebb11cfafe6c98c7ed,0,,xgboost,1.0,0.23602941176470593,0.2777777777777779,0.06683006535947712,0.10163398692810457
xgboost_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.18581081081081074,0.03367003367003367,"[0.1527871621621621, 0.22930743243243243]","[0.028451178451178453, 0.05235690235690236]",237,297,622.7153480052948,621.5802578926086,0.45320701599121094,0.023622989654541016,4f80ee58b354a85cca8d6a49992b1400bd26dd3d1f84b48aa2b48ba0,0,,xgboost,1.0,0.1527871621621621,0.22930743243243243,0.028451178451178453,0.05235690235690236
xgboost_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.35,0.23333333333333334,"[0.30000000000000004, 0.4295833333333334]","[0.18708333333333332, 0.3]",1186,60,630.1911780834198,627.0755259990692,2.7056210041046143,0.018999099731445312,7888b88684e62992ed01230432a8e60b14629d87f34867a2cceb81da,0,,xgboost,1.0,0.30000000000000004,0.4295833333333334,0.18708333333333332,0.3
xgboost_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.3999999999999999,0.2833333333333333,"[0.3666666666666667, 0.4925]","[0.25, 0.37958333333333333]",1222,60,632.0926220417023,626.0687637329102,5.609659194946289,0.026909828186035156,38ce807e3cdbe0f3a228b73776601c6faf2c41f8f5458789f805a681,0,,xgboost,1.0,0.3666666666666667,0.4925,0.25,0.37958333333333333
xgboost_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.8137254901960784,0.3888888888888889,"[0.7571078431372549, 0.805718954248366]","[0.35841503267973857, 0.43668300653594777]",305,306,631.3026030063629,628.2904977798462,2.3230879306793213,0.12041902542114258,7491eba9bd3fdfeb9867eb1885965ed3e94b68ebbcb1df66ca545da0,0,,xgboost,0.25,0.7571078431372549,0.805718954248366,0.35841503267973857,0.43668300653594777
