experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
categorical_nb_in_domain_Dar_Dar_size1.0,in_domain,Dar,Dar,0.22291021671826616,0.08950617283950617,"[0.17577160493827151, 0.2563271604938272]","[0.06790123456790123, 0.12345679012345678]",1293,324,4553.122946977615,4552.627175807953,0.07366800308227539,0.09512519836425781,70554d131ca450959d3bbd026528975c5aed0104091caae5d10bfb06,0,,categorical_nb,1.0,0.17577160493827151,0.2563271604938272,0.06790123456790123,0.12345679012345678
logistic_regression_in_domain_Bohol_Bohol_size1.0,in_domain,Bohol,Bohol,0.7689243027888446,0.3426294820717131,"[0.6772908366533865, 0.7890438247011952]","[0.2948207171314741, 0.4103585657370518]",1001,251,4601.809279918671,4576.902143239975,23.34491205215454,0.07063794136047363,9b2d27f3fc3abb214d001f43d467165a338660b6c919be2ea4940bfd,0,,logistic_regression,1.0,0.6772908366533865,0.7890438247011952,0.2948207171314741,0.4103585657370518
random_forest_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.8666666666666667,0.5833333333333334,"[0.7333333333333333, 0.9]","[0.5, 0.7]",237,60,4824.449057102203,4823.397296905518,0.5380361080169678,0.0899360179901123,11f27dcc09915a4d4140eb0e6c899663ad1cd7657e22f334b1897b47,0,,random_forest,1.0,0.7333333333333333,0.9,0.5,0.7
xgboost_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.5980392156862745,0.2222222222222222,"[0.5292483660130719, 0.6374183006535946]","[0.17303921568627453, 0.2648692810457516]",1186,306,4772.206143140793,4769.7296578884125,1.4730770587921143,0.1129751205444336,cec6289c54fb0b83215f3c48add282bd215d25a757e32d3b0f4fbcb8,0,,xgboost,1.0,0.5292483660130719,0.6374183006535946,0.17303921568627453,0.2648692810457516
random_forest_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.2833333333333333,0.23333333333333334,"[0.15000000000000002, 0.3833333333333333]","[0.12458333333333338, 0.35]",1186,60,4782.7741549015045,4781.693071842194,0.17296195030212402,0.11498785018920898,de47be1e78fb9c2867a525aafe61a3d9261df4675cda650e6f044fc4,0,,random_forest,1.0,0.15000000000000002,0.3833333333333333,0.12458333333333338,0.35
categorical_nb_out_domain_AP_Bohol_size1.0,out_domain,AP,Bohol,0.38247011952191234,0.14342629482071714,"[0.31075697211155384, 0.4342629482071714]","[0.10358565737051793, 0.17739043824701192]",1186,251,5316.603855133057,5314.863810777664,0.06751489639282227,0.08645081520080566,c47f924df1111667f05cfb176657d604d47bd337975923dc0bc5298c,0,,categorical_nb,1.0,0.31075697211155384,0.4342629482071714,0.10358565737051793,0.17739043824701192
categorical_nb_in_domain_UP_UP_size1.0,in_domain,UP,UP,0.7678571428571428,0.4092526690391459,"[0.6766964285714286, 0.7964285714285715]","[0.35346975088967975, 0.4521352313167259]",1124,281,5458.599402427673,5457.643855810165,0.060305118560791016,0.090789794921875,6b88644be806a6a0f51e4343ae9b2683b5b61db483b6000dd3fa7f7c,0,,categorical_nb,1.0,0.6766964285714286,0.7964285714285715,0.35346975088967975,0.4521352313167259
categorical_nb_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.25163398692810457,0.0392156862745098,"[0.20073529411764704, 0.2925653594771242]","[0.017892156862745107, 0.06209150326797386]",1186,306,5337.6963222026825,5337.012893199921,0.06602716445922852,0.09085416793823242,e30244ec0c9fb01cf457e20ab30e9a93d84ebad7f6497d167acbf8f7,0,,categorical_nb,1.0,0.20073529411764704,0.2925653594771242,0.017892156862745107,0.06209150326797386
xgboost_in_domain_Bohol_Bohol_size1.0,in_domain,Bohol,Bohol,0.8645418326693227,0.4063745019920319,"[0.7626494023904382, 0.8685258964143426]","[0.350597609561753, 0.46215139442231074]",1001,251,5637.14449095726,5632.933119058609,2.542632818222046,0.10847282409667969,ecac8c818af7059ea852b66fee540b4aea7ae9ec142c3a6c6910957f,0,,xgboost,1.0,0.7626494023904382,0.8685258964143426,0.350597609561753,0.46215139442231074
logistic_regression_out_domain_AP_Bohol_size1.0,out_domain,AP,Bohol,0.007968127490039945,0.0,"[1.1102230246251565e-16, 0.01593625498007989]","[0.0, 0.0]",1186,251,5526.948764324188,5507.385558843613,18.889540910720825,0.06924319267272949,dc8ad51c056398f0fd08f6c9a5160ea487729b8704ea8bf8def2cd5c,0,,logistic_regression,1.0,1.1102230246251565e-16,0.01593625498007989,0.0,0.0
random_forest_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.39869281045751637,0.10457516339869281,"[0.3250816993464053, 0.42017973856209145]","[0.07998366013071896, 0.1324346405228758]",1186,306,5510.7418830394745,5509.8481278419495,0.1914832592010498,0.1100320816040039,1f37be6d4f8cdc9f54c91c30cd466f42461b2fb3ea424b0b217f2841,0,,random_forest,1.0,0.3250816993464053,0.42017973856209145,0.07998366013071896,0.1324346405228758
