model,classification,n_experiments,csmf_mean,csmf_std,csmf_min,csmf_max,cod_mean,cod_std,cod_min,cod_max,csmf_ci_lower,csmf_ci_upper,cod_ci_lower,cod_ci_upper
categorical_nb,VA34,6,0.38442308403069075,0.2273697514326708,0.1499999999999999,0.7392857142857143,0.1936496771561879,0.13322064361986213,0.0833333333333333,0.4163701067615658,0.3347695028257261,0.4047456053989724,0.16247288573830643,0.22623070766603168
random_forest,VA34,6,0.7919182569625886,0.033734229531613785,0.744,0.8305084745762712,0.45162041712740275,0.08634941777383506,0.3585657370517928,0.5833333333333334,0.7103596413417068,0.7962657580070308,0.39969595199097324,0.5003357040862476
xgboost,VA34,6,0.8835467613760618,0.027742646503897336,0.844621513944223,0.9152542372881356,0.46733578981946017,0.09055201112739268,0.3466135458167331,0.6166666666666667,0.7831936968342279,0.8736092179119543,0.42754907466440956,0.5275372909735692
logistic_regression,VA34,6,0.6148764343160135,0.14174537100822904,0.35,0.7464285714285714,0.2956613721539087,0.10218532777631477,0.15,0.4483985765124555,0.5554413357738944,0.6500175541712417,0.2556834898712131,0.3536309453128092
insilico,VA34,6,0.7997092648037213,0.06702036300496578,0.712,0.8813559322033898,0.40972956606577543,0.08167466074682869,0.3227091633466135,0.5333333333333333,0.7232915311816414,0.8063510551371879,0.37146696438860793,0.4604748245635349
