model,classification,n_experiments,csmf_mean,csmf_std,csmf_min,csmf_max,cod_mean,cod_std,cod_min,cod_max,csmf_ci_lower,csmf_ci_upper,cod_ci_lower,cod_ci_upper
categorical_nb,COD5,6,0.5335226529473874,0.23299528094270902,0.2469135802469135,0.8582677165354331,0.4047704164289158,0.18820085812404014,0.147410358565737,0.6548042704626335,0.470782952679778,0.5857955647996461,0.3382940839811375,0.45748239292056275
random_forest,COD5,6,0.9157204461410027,0.06683309510312757,0.7959866220735786,0.968503937007874,0.6770084649032815,0.05921065858197085,0.601593625498008,0.7333333333333333,0.8450898457826531,0.9257768827637448,0.6260335741686686,0.7141077953875935
xgboost,COD5,6,0.9676994728879226,0.016447560790709352,0.9411764705882352,0.9899665551839464,0.6955515235997544,0.06148324353181663,0.5936254980079682,0.7561728395061729,0.9111707936117422,0.9711630086637312,0.6511637119577901,0.7423796729154443
logistic_regression,COD5,6,0.8353147350914086,0.06611309603651512,0.7692307692307693,0.9409448818897638,0.6353470711552954,0.09878598951911222,0.4541832669322709,0.7259786476868327,0.8012773749300056,0.8776922510851667,0.5888615941197384,0.68765904384223
insilico,COD5,6,0.8868487187615729,0.031111861912091296,0.8595317725752508,0.9251968503937008,0.6138945005128054,0.08499221285633721,0.4780876494023904,0.7098765432098766,0.8292914715358499,0.9214571377395474,0.5563169911893248,0.6579386484738344
