Experiment,In-Domain CSMF,Out-Domain CSMF,Performance Gap (%)
Regularization-enhanced,0.8540162794898588,0.29074763265939735,65.95525874131187
Regularization-conservative,0.855087889484699,0.286733881831921,66.46732045232038
Regularization-fixed_conservative,0.8843699132831735,0.5111994347288464,42.19619787481832
Tuning-In-Domain Optimization,0.8437685608477831,0.2387304303317511,71.70664547018855
