,insilico,categorical_nb,xgboost,random_forest,logistic_regression
XGBoost + Random Forest + Categorical NB,0.3888888888888889,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.3333333333333333
XGBoost + Categorical NB + InSilicoVA,0.7222222222222222,0.8888888888888888,0.3888888888888889,0.5,0.5555555555555556
XGBoost + Random Forest + InSilicoVA + Categorical NB + Logistic Regression,0.8333333333333334,0.8888888888888888,0.3888888888888889,0.5555555555555556,0.5555555555555556
XGBoost + Random Forest + Categorical NB + Logistic Regression + InSilicoVA,0.8333333333333334,0.8888888888888888,0.3888888888888889,0.5555555555555556,0.5555555555555556
XGBoost + Categorical NB + InSilicoVA + Random Forest + Logistic Regression,0.8333333333333334,0.8888888888888888,0.3888888888888889,0.5555555555555556,0.5555555555555556
