,insilico,categorical_nb,xgboost,random_forest,logistic_regression
XGBoost + Random Forest + Categorical NB,-0.049084173286426225,0.08012493284630612,-0.183942133938645,-0.10785715638540518,-0.021078781061801596
XGBoost + Categorical NB + InSilicoVA,0.0420775853392219,0.17128669147195422,-0.09278037531299689,-0.01669539775975705,0.07008297756384653
XGBoost + Random Forest + InSilicoVA + Categorical NB + Logistic Regression,0.06965973546322782,0.19886884159596016,-0.06519822518899097,0.010886752364248865,0.09766512768785246
XGBoost + Random Forest + Categorical NB + Logistic Regression + InSilicoVA,0.06965973546322782,0.19886884159596016,-0.06519822518899097,0.010886752364248865,0.09766512768785246
XGBoost + Categorical NB + InSilicoVA + Random Forest + Logistic Regression,0.06965973546322782,0.19886884159596013,-0.06519822518899096,0.010886752364248865,0.09766512768785246
