experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
xgboost_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.9152542372881356,0.6166666666666667,"[0.7909044418468731, 0.9325141242937853]","[0.5575, 0.7424999999999999]",237,60,0.17129802703857422,,0.1173100471496582,0.03758597373962402,8260d83af43240776c1534a6baa13c4a41d9ab22f06ed6f83ae75f2f,0,,xgboost,1.0,0.7909044418468731,0.9325141242937853,0.5575,0.7424999999999999
xgboost_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.8594771241830066,0.4411764705882353,"[0.7586960248580308, 0.8696078431372549]","[0.401062091503268, 0.4869281045751634]",1222,306,0.8327958583831787,,0.751762866973877,0.06459593772888184,20caba1ad7be122285abb87c0bef4852fa6e360c39f30d5f51d75983,0,,xgboost,1.0,0.7586960248580308,0.8696078431372549,0.401062091503268,0.4869281045751634
xgboost_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.8783783783783784,0.4713804713804714,"[0.785304054054054, 0.865793918918919]","[0.42424242424242425, 0.5096801346801346]",1186,297,0.8567297458648682,,0.7746219635009766,0.06564903259277344,629eec68461662a66b513550ae855784b79bd3d094117294ce6a5c8b,0,,xgboost,1.0,0.785304054054054,0.865793918918919,0.42424242424242425,0.5096801346801346
xgboost_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.45608108108108114,0.20875420875420875,"[0.4098809036309036, 0.4825168918918918]","[0.17382154882154882, 0.251010101010101]",237,297,0.15296697616577148,,0.11047005653381348,0.03460502624511719,20caba1ad7be122285abb87c0bef4852fa6e360c39f30d5f51d75983,0,,xgboost,1.0,0.4098809036309036,0.4825168918918918,0.17382154882154882,0.251010101010101
xgboost_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.8529411764705883,0.34967320261437906,"[0.7536764705882353, 0.8690359477124183]","[0.314297385620915, 0.3892156862745098]",305,306,0.2554931640625,,0.201995849609375,0.03734111785888672,20caba1ad7be122285abb87c0bef4852fa6e360c39f30d5f51d75983,0,,xgboost,0.25,0.7536764705882353,0.8690359477124183,0.314297385620915,0.3892156862745098
xgboost_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.826797385620915,0.35947712418300654,"[0.7263071895424837, 0.8276960784313725]","[0.3056372549019608, 0.37107843137254903]",611,306,0.44806504249572754,,0.3812990188598633,0.045916080474853516,20caba1ad7be122285abb87c0bef4852fa6e360c39f30d5f51d75983,0,,xgboost,0.5,0.7263071895424837,0.8276960784313725,0.3056372549019608,0.37107843137254903
xgboost_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.3431372549019608,0.09803921568627451,"[0.2736111111111111, 0.38504901960784316]","[0.07246732026143791, 0.1236111111111111]",237,306,0.19581389427185059,,0.13376784324645996,0.05326199531555176,ce18a1f8ce042972635bd709773fad77724544d417cf35f61872f779,0,,xgboost,1.0,0.2736111111111111,0.38504901960784316,0.07246732026143791,0.1236111111111111
xgboost_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.8333333333333334,0.3954248366013072,"[0.7355392156862746, 0.8416666666666667]","[0.33897058823529413, 0.4287581699346405]",916,306,0.6386449337005615,,0.5742559432983398,0.04781794548034668,20caba1ad7be122285abb87c0bef4852fa6e360c39f30d5f51d75983,0,,xgboost,0.75,0.7355392156862746,0.8416666666666667,0.33897058823529413,0.4287581699346405
xgboost_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.45000000000000007,0.35,"[0.3316666666666668, 0.5379166666666666]","[0.26208333333333333, 0.47125]",1222,60,0.8131759166717529,,0.7604899406433105,0.04396390914916992,37079ed7bd2ea08d2fa4810f3673a1e62b53126cd157cbafe0a8729f,0,,xgboost,1.0,0.3316666666666668,0.5379166666666666,0.26208333333333333,0.47125
xgboost_out_domain_Mexico_AP_size1.0,out_domain,Mexico,AP,0.7601351351351351,0.3468013468013468,"[0.6898989898989899, 0.7806087337337337]","[0.3204545454545455, 0.39057239057239057]",1222,297,0.8309009075164795,,0.759119987487793,0.05685091018676758,49120c306fd4e819cca5aa3eacce76e46acabf66cc8a1d6df961f129,0,,xgboost,1.0,0.6898989898989899,0.7806087337337337,0.3204545454545455,0.39057239057239057
xgboost_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.44999999999999996,0.3,"[0.2741666666666668, 0.5045833333333333]","[0.17875, 0.39249999999999996]",1186,60,0.8345122337341309,,0.7800219058990479,0.039482831954956055,19418da897b07fb36b227b966a8c8edcacd93db347187e439f6fad42,0,,xgboost,1.0,0.2741666666666668,0.5045833333333333,0.17875,0.39249999999999996
xgboost_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.6078431372549019,0.22549019607843138,"[0.5412581699346406, 0.6349673202614379]","[0.19191176470588237, 0.26323529411764707]",1186,306,0.8715269565582275,,0.7958347797393799,0.06662917137145996,39aa6f449d8d7f8b2be33bef0077bfd4c2420ee5e1378eca385858e5,0,,xgboost,1.0,0.5412581699346406,0.6349673202614379,0.19191176470588237,0.26323529411764707
